,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
833,,2.0,,,,1551.0,1551.0,2.0,2.0,1.0,-78.7896,35.9409,309990
834,,2.0,,1.0,,2082.0,2082.0,2.0,3.0,1.0,-78.7896,35.9409,367990
835,,2.0,,,,2114.0,2114.0,2.0,2.0,,-78.939041,35.888399,489400
836,,2.0,,1.0,,2169.0,2169.0,2.0,2.0,1.0,-78.7896,35.9409,376990
837,,2.0,,,,1888.0,1888.0,2.0,2.0,,-78.939041,35.888399,463400
838,,2.0,,1.0,,1924.0,1924.0,2.0,3.0,2.0,-78.8238,35.9966,277990
839,,3.0,,,,2134.0,2134.0,2.0,4.0,2.0,-78.8238,35.9966,290990
840,,2.0,,1.0,,1859.0,1859.0,2.0,3.0,2.0,-78.8238,35.9966,273990
841,,2.0,,,,2053.0,2053.0,2.0,2.0,,-78.939041,35.888399,471400
842,,2.0,,,,1800.0,1800.0,2.0,2.0,1.0,-78.7896,35.9409,344990
843,,2.0,,,,1643.0,1643.0,2.0,2.0,,-78.939041,35.888399,429400
844,,2.0,,,,1873.0,1873.0,2.0,2.0,1.0,-78.7896,35.9409,349990
845,,2.0,,,,1776.0,1776.0,2.0,2.0,,-78.939041,35.888399,439400
846,2020.0,2.0,,1.0,,5227.0,2173.0,,3.0,2.0,-78.886474,36.009042,589900
847,,2.0,,,,1519.0,1519.0,2.0,2.0,,-78.939041,35.888399,409400
848,,2.0,,,,1888.0,1888.0,2.0,2.0,,-78.778123,35.931734,426400
853,,2.0,,,,1776.0,1776.0,2.0,2.0,,-78.778123,35.931734,402400
854,,2.0,,,,1519.0,1519.0,2.0,2.0,,-78.778123,35.931734,372400
856,2019.0,3.0,,1.0,,2178.0,3131.0,2.0,4.0,3.0,-78.908962,35.987111,930000
857,2020.0,2.0,,1.0,,6970.0,1979.0,,3.0,2.0,-78.883248,35.994219,389997
858,1995.0,2.0,,,,12284.0,1248.0,,3.0,2.0,-78.872607,35.989316,375000
859,2020.0,3.0,,1.0,,7405.0,3098.0,2.0,4.0,2.0,-78.859458,36.126644,415900
861,,2.0,,1.0,,2076.0,2076.0,3.0,2.0,1.0,-78.824651,35.900136,422900
