,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
80,429900,2000.0,2.0,,1.0,,22651.0,2291.0,2.0,3.0
81,245000,1992.0,2.0,,1.0,,26136.0,1652.0,,3.0
82,406900,2021.0,2.0,,1.0,,15682.0,2685.0,2.0,3.0
84,273000,1994.0,2.0,,,,7841.0,1346.0,2.0,3.0
85,317900,,2.0,,1.0,,2139.0,2139.0,2.0,3.0
86,309900,,2.0,,1.0,,2098.0,2098.0,2.0,3.0
87,297900,,2.0,,1.0,,2001.0,2001.0,2.0,2.0
88,295900,,2.0,,1.0,,1950.0,1950.0,2.0,3.0
89,334900,,2.0,,1.0,,2271.0,2271.0,2.0,3.0
96,319900,2010.0,2.0,,1.0,,6098.0,2490.0,2.0,3.0
97,345000,2001.0,2.0,,1.0,,15856.0,2427.0,2.0,4.0
98,391900,2021.0,2.0,,1.0,,4792.0,1931.0,2.0,2.0
99,422210,2021.0,2.0,,1.0,,7841.0,2149.0,2.0,2.0
100,443490,2021.0,2.0,,1.0,,7623.0,2025.0,2.0,2.0
101,259900,2007.0,2.0,,1.0,,10803.0,1636.0,1.0,3.0
102,90000,1961.0,1.0,,,,36678.0,880.0,,2.0
104,435000,1930.0,2.0,,,,5097.0,1387.0,,3.0
105,320000,2013.0,2.0,,1.0,,5793.0,2435.0,2.0,3.0
106,199999,1961.0,1.0,,,,42689.0,1375.0,1.0,3.0
109,1500000,2006.0,4.0,,2.0,,44867.0,7588.0,3.0,5.0
110,319500,1930.0,2.0,,,,5837.0,1319.0,,3.0
114,444270,2021.0,2.0,,1.0,,6490.0,2169.0,2.0,2.0
115,337900,,2.0,,1.0,,1882.0,1882.0,2.0,2.0
116,375000,1957.0,1.0,,1.0,,10019.0,1870.0,,3.0
117,465605,2021.0,3.0,,,,6490.0,2429.0,2.0,3.0
118,353580,2021.0,2.0,,,,6186.0,1551.0,2.0,2.0
119,360000,2002.0,2.0,,1.0,,13939.0,2351.0,2.0,3.0
120,315000,2017.0,2.0,,,,20038.0,1680.0,2.0,3.0
121,500000,2007.0,3.0,,,,19689.0,3182.0,2.0,4.0
122,348000,2001.0,2.0,,1.0,,4356.0,2220.0,2.0,3.0
123,239900,1956.0,2.0,,,,19994.0,1568.0,,3.0
124,330000,1986.0,2.0,,1.0,,58850.0,2313.0,,4.0
126,850000,2017.0,4.0,,1.0,,82764.0,5141.0,2.0,5.0
127,319900,1927.0,2.0,,1.0,,11543.0,1435.0,,3.0
129,249900,2021.0,2.0,,1.0,,12720.0,1967.0,2.0,3.0
131,623000,1920.0,3.0,,,,6186.0,2347.0,,4.0
132,449900,1940.0,2.0,,,,7405.0,1439.0,,2.0
134,179900,1953.0,1.0,,,,17206.0,1000.0,,3.0
135,210000,1989.0,2.0,,,,5358.0,1375.0,,3.0
136,324900,1971.0,2.0,,,,15246.0,1618.0,,3.0
137,214000,1945.0,1.0,,1.0,,9148.0,1195.0,,3.0
138,461990,,2.0,,1.0,,2641.0,2641.0,2.0,3.0
140,337900,2015.0,2.0,,,,5140.0,1438.0,2.0,2.0
141,479990,,2.0,,1.0,,2935.0,2935.0,2.0,4.0
142,462990,,2.0,,1.0,,2641.0,2641.0,2.0,3.0
143,499900,1930.0,2.0,,,,10019.0,2005.0,2.0,3.0
144,375000,2018.0,2.0,,1.0,,7841.0,2140.0,,3.0
146,255000,1908.0,2.0,,1.0,,16117.0,3202.0,,8.0
149,215000,1933.0,2.0,,,,6578.0,1358.0,,3.0
151,239900,2013.0,2.0,,1.0,,6011.0,1888.0,2.0,3.0
152,270000,2006.0,2.0,,1.0,,8276.0,2336.0,2.0,4.0
153,374900,,2.0,,1.0,,2956.0,2956.0,2.0,4.0
160,219900,1959.0,1.0,,,,17424.0,990.0,,2.0
161,299000,1925.0,2.0,,,,11674.0,1547.0,,2.0
162,508000,1920.0,3.0,,,,4966.0,2275.0,,4.0
163,195000,1965.0,2.0,,,,20038.0,1323.0,,3.0
164,349000,1956.0,2.0,,,,24481.0,2938.0,1.0,3.0
165,306900,,2.0,,,,1962.0,1962.0,2.0,2.0
167,419900,1977.0,3.0,,,,17685.0,2174.0,,4.0
